epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6855,1.16021,1.15884,1.28008,0.66574,0.60285,0.62468,0.37747,1.3579,1.46412,1.54166,0.000664794,0.000664794,0.000664794
2,161.098,1.23083,1.1012,1.32855,0.67386,0.57854,0.63429,0.3973,1.3118,1.54779,1.4822,0.0013051,0.0013051,0.0013051
3,238.527,1.2119,1.06197,1.31888,0.73093,0.623,0.6825,0.43657,1.2821,1.33362,1.44992,0.001919,0.001919,0.001919
4,318.044,1.17173,1.01541,1.29765,0.7302,0.62893,0.69644,0.44782,1.2697,1.25693,1.45266,0.0018812,0.0018812,0.0018812
5,395.638,1.11094,0.94764,1.26104,0.76336,0.65975,0.73622,0.49964,1.17355,1.13216,1.3498,0.0018416,0.0018416,0.0018416
6,478.273,1.08034,0.9043,1.23896,0.76364,0.67576,0.73161,0.49032,1.1823,1.10743,1.38809,0.001802,0.001802,0.001802
7,559.044,1.048,0.88781,1.22373,0.77504,0.66986,0.74655,0.50632,1.13624,1.05993,1.34668,0.0017624,0.0017624,0.0017624
8,638.831,1.02379,0.85476,1.21147,0.76237,0.70935,0.75406,0.51999,1.1148,1.05021,1.34178,0.0017228,0.0017228,0.0017228
9,723.246,1.00221,0.82598,1.1955,0.76961,0.72614,0.76896,0.5363,1.08276,1.13324,1.29585,0.0016832,0.0016832,0.0016832
10,816.945,0.98045,0.80748,1.18306,0.77379,0.72081,0.77587,0.54413,1.05418,0.98366,1.28557,0.0016436,0.0016436,0.0016436
11,898.503,0.95976,0.78086,1.16763,0.7785,0.73918,0.777,0.54934,1.04647,1.01366,1.27876,0.001604,0.001604,0.001604
12,976.77,0.94706,0.76564,1.15997,0.79619,0.73444,0.79193,0.56894,1.01902,0.93853,1.25686,0.0015644,0.0015644,0.0015644
13,1055.87,0.92164,0.73639,1.14199,0.80125,0.75755,0.79604,0.57547,1.00612,0.95916,1.26384,0.0015248,0.0015248,0.0015248
14,1152.39,0.91489,0.73613,1.14542,0.79967,0.74774,0.80863,0.5816,0.99004,0.87318,1.23877,0.0014852,0.0014852,0.0014852
15,1286.95,0.89566,0.7113,1.12489,0.80335,0.75552,0.8009,0.58093,0.9991,0.9112,1.24335,0.0014456,0.0014456,0.0014456
16,1419.37,0.88532,0.70005,1.12835,0.8081,0.76289,0.808,0.58863,0.99213,0.90291,1.24576,0.001406,0.001406,0.001406
17,1548.17,0.8765,0.69065,1.11762,0.81471,0.77297,0.8206,0.60333,0.96273,0.85715,1.22063,0.0013664,0.0013664,0.0013664
18,1675.43,0.86538,0.67312,1.1098,0.82869,0.75519,0.8169,0.59871,0.96011,0.86765,1.20627,0.0013268,0.0013268,0.0013268
19,1801.49,0.86208,0.66744,1.10792,0.81632,0.76408,0.81253,0.59583,0.96733,0.88393,1.23998,0.0012872,0.0012872,0.0012872
20,1928.03,0.83717,0.64937,1.09205,0.8,0.78482,0.82384,0.61171,0.96714,0.83161,1.22679,0.0012476,0.0012476,0.0012476
21,2060.31,0.83317,0.64211,1.09098,0.81827,0.75801,0.81393,0.60208,0.96323,0.8686,1.22232,0.001208,0.001208,0.001208
22,2189.99,0.8278,0.62966,1.08949,0.82317,0.75282,0.81488,0.61085,0.95735,0.84828,1.22281,0.0011684,0.0011684,0.0011684
23,2318.45,0.82185,0.62783,1.08154,0.82399,0.77423,0.82899,0.6203,0.94179,0.81647,1.20338,0.0011288,0.0011288,0.0011288
24,2450.56,0.81116,0.61339,1.07413,0.8427,0.77593,0.82685,0.62003,0.95848,0.7927,1.21616,0.0010892,0.0010892,0.0010892
25,2578.38,0.79191,0.59975,1.06907,0.84309,0.78068,0.83111,0.62416,0.9321,0.83409,1.19478,0.0010496,0.0010496,0.0010496
26,2707.69,0.79037,0.60144,1.06807,0.84667,0.76763,0.83143,0.63278,0.91667,0.79872,1.19296,0.00101,0.00101,0.00101
27,2839.79,0.77955,0.58807,1.05799,0.85185,0.78423,0.8372,0.63205,0.91667,0.78621,1.19244,0.0009704,0.0009704,0.0009704
28,2970.83,0.76974,0.5742,1.05336,0.8392,0.78269,0.84228,0.64393,0.89721,0.79494,1.18137,0.0009308,0.0009308,0.0009308
29,3097.03,0.7663,0.5686,1.05375,0.82611,0.78849,0.83227,0.6363,0.90048,0.78832,1.18208,0.0008912,0.0008912,0.0008912
30,3233.01,0.76047,0.56689,1.04816,0.8251,0.79727,0.83733,0.63126,0.90769,0.8012,1.18971,0.0008516,0.0008516,0.0008516
31,3367.95,0.75799,0.55923,1.04796,0.84543,0.77712,0.83735,0.63278,0.9184,0.78452,1.19678,0.000812,0.000812,0.000812
32,3501.01,0.7443,0.54621,1.04018,0.85449,0.7783,0.83603,0.64082,0.89527,0.77938,1.17458,0.0007724,0.0007724,0.0007724
33,3631.89,0.73312,0.53846,1.03633,0.86216,0.76375,0.83677,0.64027,0.9036,0.78852,1.18569,0.0007328,0.0007328,0.0007328
34,3762.88,0.73228,0.5318,1.03314,0.83904,0.79414,0.83737,0.64294,0.8941,0.80469,1.17631,0.0006932,0.0006932,0.0006932
35,3892.05,0.71883,0.52307,1.02873,0.86012,0.77636,0.83543,0.64124,0.90934,0.79817,1.17833,0.0006536,0.0006536,0.0006536
36,4020.85,0.72227,0.51792,1.02852,0.85143,0.79153,0.83884,0.64612,0.88566,0.78451,1.17291,0.000614,0.000614,0.000614
37,4152.63,0.70184,0.50501,1.01701,0.86768,0.77351,0.84111,0.64758,0.89197,0.78895,1.18329,0.0005744,0.0005744,0.0005744
38,4290.22,0.69846,0.4969,1.01414,0.86047,0.79253,0.83717,0.65064,0.87632,0.77194,1.17035,0.0005348,0.0005348,0.0005348
39,4421.81,0.69229,0.49485,1.01165,0.86476,0.78838,0.84369,0.65274,0.87614,0.75724,1.17084,0.0004952,0.0004952,0.0004952
40,4553.66,0.68758,0.48732,1.00775,0.86669,0.79135,0.84774,0.65798,0.87318,0.76565,1.16745,0.0004556,0.0004556,0.0004556
41,4685.6,0.60416,0.40121,0.9494,0.86741,0.79016,0.84225,0.65169,0.86603,0.76769,1.16529,0.000416,0.000416,0.000416
42,4817.1,0.59108,0.38993,0.9439,0.85342,0.79377,0.83773,0.65084,0.87566,0.80101,1.17909,0.0003764,0.0003764,0.0003764
43,4945.25,0.57769,0.37786,0.9341,0.88041,0.78127,0.84312,0.65533,0.8676,0.78587,1.1757,0.0003368,0.0003368,0.0003368
44,5075.18,0.56875,0.37103,0.93032,0.87796,0.77611,0.84152,0.65813,0.86665,0.77553,1.17357,0.0002972,0.0002972,0.0002972
45,5203.59,0.56083,0.36325,0.92575,0.84958,0.80018,0.84135,0.65792,0.86617,0.77873,1.17484,0.0002576,0.0002576,0.0002576
46,5329.72,0.55387,0.35621,0.92342,0.85353,0.80261,0.84339,0.66455,0.85981,0.77915,1.17765,0.000218,0.000218,0.000218
47,5454.21,0.53996,0.34867,0.91733,0.84135,0.80158,0.84445,0.66258,0.86495,0.79163,1.18723,0.0001784,0.0001784,0.0001784
48,5583.08,0.53779,0.34184,0.91579,0.8553,0.80498,0.84557,0.66961,0.84488,0.79747,1.16778,0.0001388,0.0001388,0.0001388
49,5716.81,0.5308,0.33955,0.912,0.84417,0.8124,0.84447,0.66652,0.8561,0.78957,1.1791,9.92e-05,9.92e-05,9.92e-05
50,5849.76,0.52388,0.33441,0.90678,0.84481,0.81269,0.84497,0.66617,0.85341,0.79043,1.18167,5.96e-05,5.96e-05,5.96e-05
